Input Size (bytes),Input Size,OutlierStatus,Variable,Comparison,ExperimentA,ExperimentB,CliffsDelta,MedianRatio_A_over_B
16777216,16 MB,Without_Outliers,SHA-256,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,7.915502696513475
67108864,64 MB,Without_Outliers,SHA-256,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,7.886808668801619
67108864,64 MB,Without_Outliers,SHA-256,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,7.916881834266307
104857600,100 MB,Without_Outliers,SHA-256,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,7.886107849616199
104857600,100 MB,Without_Outliers,SHA-256,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,7.91652957658686
1048576,1 MB,Without_Outliers,AES-256-GCM encrypt,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,23.69710042547741
1048576,1 MB,Without_Outliers,AES-256-GCM encrypt,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,23.718630480853516
16777216,16 MB,Without_Outliers,AES-256-GCM encrypt,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,24.001082369823806
16777216,16 MB,Without_Outliers,AES-256-GCM encrypt,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,23.97480383217522
67108864,64 MB,Without_Outliers,AES-256-GCM encrypt,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,23.979923219824112
67108864,64 MB,Without_Outliers,AES-256-GCM encrypt,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,23.9597284572466
104857600,100 MB,Without_Outliers,AES-256-GCM encrypt,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,23.99049472062696
104857600,100 MB,Without_Outliers,AES-256-GCM encrypt,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,23.96640607861092
1048576,1 MB,Without_Outliers,AES-256-GCM decrypt,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,24.888909855564144
1048576,1 MB,Without_Outliers,AES-256-GCM decrypt,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,24.859314055144587
16777216,16 MB,Without_Outliers,AES-256-GCM decrypt,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,24.974398942329238
16777216,16 MB,Without_Outliers,AES-256-GCM decrypt,purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,1.0,24.951168660514785
67108864,64 MB,Without_Outliers,AES-256-GCM decrypt,purecap ABI vs outside compartment,purecap ABI,outside compartment,1.0,24.982642058850757
