mode,workload,operation,size_bytes,repetition,start_time_ms,end_time_ms,success
purecap,sha256,hash,16777216,3,5362519395.235366,5362519474.875060,1
purecap,sha256,hash,16777216,4,5362519474.882880,5362519554.535775,1
purecap,sha256,hash,16777216,5,5362519554.543175,5362519634.171429,1
purecap,sha256,hash,16777216,6,5362519634.178589,5362519713.810423,1
purecap,sha256,hash,16777216,7,5362519713.818443,5362519793.447797,1
purecap,sha256,hash,16777216,8,5362519793.454797,5362519873.091312,1
purecap,sha256,hash,16777216,9,5362519873.098272,5362519952.725166,1
purecap,sha256,hash,16777216,10,5362519952.731546,5362520032.357980,1
purecap,sha256,hash,16777216,11,5362520032.365260,5362520112.016654,1
purecap,sha256,hash,16777216,12,5362520112.024294,5362520191.663569,1
purecap,sha256,hash,16777216,13,5362520191.671489,5362520271.308283,1
purecap,sha256,hash,16777216,14,5362520271.315203,5362520350.941797,1
purecap,sha256,hash,16777216,15,5362520350.948757,5362520430.580351,1
purecap,sha256,hash,16777216,16,5362520430.587131,5362520510.235266,1
purecap,sha256,hash,16777216,17,5362520510.243346,5362520589.862680,1
purecap,sha256,hash,16777216,18,5362520589.870000,5362520669.511794,1
purecap,sha256,hash,16777216,19,5362520669.531854,5362520749.149908,1
purecap,sha256,hash,16777216,20,5362520749.156648,5362520828.781602,1
purecap,sha256,hash,16777216,21,5362520828.788822,5362520908.412216,1
purecap,sha256,hash,16777216,22,5362520908.419256,5362520988.047030,1
purecap,sha256,hash,16777216,23,5362520988.053831,5362521067.678024,1
purecap,sha256,hash,16777216,24,5362521067.685345,5362521147.317259,1
purecap,sha256,hash,16777216,25,5362521147.324319,5362521226.937773,1
purecap,sha256,hash,16777216,26,5362521226.944933,5362521306.581647,1
purecap,sha256,hash,16777216,27,5362521306.588867,5362521386.222801,1
purecap,sha256,hash,16777216,28,5362521386.229901,5362521465.896576,1
purecap,sha256,hash,16777216,29,5362521465.909436,5362521545.560750,1
purecap,sha256,hash,16777216,30,5362521545.568431,5362521625.191504,1
purecap,sha256,hash,16777216,31,5362521625.198405,5362521704.830279,1
purecap,sha256,hash,16777216,32,5362521704.837679,5362521784.466193,1
purecap,sha256,hash,16777216,33,5362521784.472973,5362521864.091867,1
purecap,sha256,hash,16777216,34,5362521864.098267,5362521943.728861,1
purecap,sha256,hash,16777216,35,5362521943.735321,5362522023.372915,1
purecap,sha256,hash,16777216,36,5362522023.379495,5362522102.998629,1
purecap,sha256,hash,16777216,37,5362522103.006269,5362522182.639323,1
purecap,sha256,hash,16777216,38,5362522182.646204,5362522262.268837,1
purecap,sha256,hash,16777216,39,5362522262.275758,5362522341.882891,1
purecap,sha256,hash,16777216,40,5362522341.889971,5362522421.520605,1
purecap,sha256,hash,16777216,41,5362522421.527465,5362522501.182840,1
purecap,sha256,hash,16777216,42,5362522501.193660,5362522580.825934,1
purecap,sha256,hash,16777216,43,5362522580.832994,5362522660.485049,1
purecap,sha256,hash,16777216,44,5362522660.491689,5362522740.094942,1
purecap,sha256,hash,16777216,45,5362522740.101123,5362522819.700796,1
purecap,sha256,hash,16777216,46,5362522819.707596,5362522899.292949,1
purecap,sha256,hash,16777216,47,5362522899.299430,5362522978.897863,1
purecap,sha256,hash,16777216,48,5362522978.904383,5362523058.522837,1
purecap,sha256,hash,16777216,49,5362523058.529157,5362523138.140111,1
purecap,sha256,hash,16777216,50,5362523138.146771,5362523217.768385,1
purecap,sha256,hash,16777216,51,5362523217.775665,5362523297.400799,1
purecap,sha256,hash,16777216,52,5362523297.407939,5362523377.028433,1
purecap,sha256,hash,16777216,53,5362523377.035933,5362523456.680027,1
purecap,sha256,hash,16777216,54,5362523456.691827,5362523536.328042,1
purecap,sha256,hash,16777216,55,5362523536.336162,5362523615.981216,1
purecap,sha256,hash,16777216,56,5362523615.988816,5362523695.634590,1
purecap,sha256,hash,16777216,57,5362523695.641571,5362523775.282245,1
purecap,sha256,hash,16777216,58,5362523775.289205,5362523854.912759,1
purecap,sha256,hash,16777216,59,5362523854.919499,5362523934.551313,1
purecap,sha256,hash,16777216,60,5362523934.558153,5362524014.203547,1
purecap,sha256,hash,16777216,61,5362524014.210888,5362524093.824661,1
purecap,sha256,hash,16777216,62,5362524093.831381,5362524173.503836,1
purecap,sha256,hash,16777216,63,5362524173.511176,5362524253.151871,1
purecap,sha256,hash,16777216,64,5362524253.159031,5362524332.795865,1
purecap,sha256,hash,16777216,65,5362524332.802625,5362524412.434239,1
purecap,sha256,hash,16777216,66,5362524412.441339,5362524492.065753,1
purecap,sha256,hash,16777216,67,5362524492.072573,5362524571.721428,1
purecap,sha256,hash,16777216,68,5362524571.728108,5362524651.401923,1
purecap,sha256,hash,16777216,69,5362524651.409163,5362524731.043177,1
purecap,sha256,hash,16777216,70,5362524731.050217,5362524810.697771,1
purecap,sha256,hash,16777216,71,5362524810.704811,5362524890.325745,1
purecap,sha256,hash,16777216,72,5362524890.332765,5362524969.979420,1
purecap,sha256,hash,16777216,73,5362524969.986720,5362525049.631774,1
purecap,sha256,hash,16777216,74,5362525049.638874,5362525129.281288,1
purecap,sha256,hash,16777216,75,5362525129.288389,5362525208.929923,1
purecap,sha256,hash,16777216,76,5362525208.937983,5362525288.573877,1
purecap,sha256,hash,16777216,77,5362525288.580857,5362525368.219111,1
purecap,sha256,hash,16777216,78,5362525368.237872,5362525447.855506,1
purecap,sha256,hash,16777216,79,5362525447.862826,5362525527.550181,1
purecap,sha256,hash,16777216,80,5362525527.559721,5362525607.212595,1
purecap,sha256,hash,16777216,81,5362525607.218795,5362525686.845629,1
purecap,sha256,hash,16777216,82,5362525686.851990,5362525766.476523,1
purecap,sha256,hash,16777216,83,5362525766.483244,5362525846.108558,1
purecap,sha256,hash,16777216,84,5362525846.114458,5362525925.760412,1
purecap,sha256,hash,16777216,85,5362525925.766692,5362526005.385806,1
purecap,sha256,hash,16777216,86,5362526005.392286,5362526085.023220,1
purecap,sha256,hash,16777216,87,5362526085.029620,5362526164.623094,1
purecap,sha256,hash,16777216,88,5362526164.629574,5362526244.253248,1
purecap,sha256,hash,16777216,89,5362526244.259568,5362526323.876462,1
purecap,sha256,hash,16777216,90,5362526323.882642,5362526403.504996,1
purecap,sha256,hash,16777216,91,5362526403.513076,5362526483.164290,1
purecap,sha256,hash,16777216,92,5362526483.171630,5362526562.817805,1
purecap,sha256,hash,16777216,93,5362526562.824845,5362526642.464299,1
purecap,sha256,hash,16777216,94,5362526642.470759,5362526722.140374,1
purecap,sha256,hash,16777216,95,5362526722.147494,5362526801.788688,1
purecap,sha256,hash,16777216,96,5362526801.795888,5362526881.445003,1
purecap,sha256,hash,16777216,97,5362526881.452003,5362526961.108837,1
purecap,sha256,hash,16777216,98,5362526961.115937,5362527040.743971,1
purecap,sha256,hash,16777216,99,5362527040.750991,5362527120.362265,1
purecap,sha256,hash,16777216,100,5362527120.369505,5362527200.000519,1
purecap,sha256,hash,67108864,1,5362527711.456173,5362528030.063231,1
purecap,sha256,hash,67108864,2,5362528030.074511,5362528348.612427,1
purecap,sha256,hash,67108864,3,5362528348.620827,5362528667.182744,1
purecap,sha256,hash,67108864,4,5362528667.191304,5362528985.758541,1
purecap,sha256,hash,67108864,5,5362528985.767282,5362529304.357559,1
purecap,sha256,hash,67108864,6,5362529304.365759,5362529622.936196,1
purecap,sha256,hash,67108864,7,5362529622.945216,5362529941.490373,1
purecap,sha256,hash,67108864,8,5362529941.498773,5362530260.096391,1
purecap,sha256,hash,67108864,9,5362530260.104631,5362530578.680908,1
purecap,sha256,hash,67108864,10,5362530578.693668,5362530897.200264,1
purecap,sha256,hash,67108864,11,5362530897.209364,5362531215.712680,1
purecap,sha256,hash,67108864,12,5362531215.720740,5362531534.238096,1
purecap,sha256,hash,67108864,13,5362531534.246856,5362531852.771273,1
purecap,sha256,hash,67108864,14,5362531852.782933,5362532171.307489,1
purecap,sha256,hash,67108864,15,5362532171.315949,5362532489.840405,1
purecap,sha256,hash,67108864,16,5362532489.849225,5362532808.455903,1
purecap,sha256,hash,67108864,17,5362532808.466223,5362533127.032140,1
purecap,sha256,hash,67108864,18,5362533127.039660,5362533445.587657,1
purecap,sha256,hash,67108864,19,5362533445.595057,5362533764.164314,1
purecap,sha256,hash,67108864,20,5362533764.175634,5362534082.667170,1
purecap,sha256,hash,67108864,21,5362534082.675290,5362534401.146885,1
purecap,sha256,hash,67108864,22,5362534401.155046,5362534719.698682,1
purecap,sha256,hash,67108864,23,5362534719.706882,5362535038.160337,1
purecap,sha256,hash,67108864,24,5362535038.168137,5362535356.626132,1
purecap,sha256,hash,67108864,25,5362535356.633773,5362535675.083447,1
purecap,sha256,hash,67108864,26,5362535675.091588,5362535993.608144,1
purecap,sha256,hash,67108864,27,5362535993.616064,5362536312.140600,1
purecap,sha256,hash,67108864,28,5362536312.148560,5362536630.653536,1
purecap,sha256,hash,67108864,29,5362536630.661896,5362536949.242793,1
purecap,sha256,hash,67108864,30,5362536949.254054,5362537267.832771,1
purecap,sha256,hash,67108864,31,5362537267.841311,5362537586.453649,1
purecap,sha256,hash,67108864,32,5362537586.461689,5362537905.032066,1
purecap,sha256,hash,67108864,33,5362537905.043366,5362538223.446320,1
purecap,sha256,hash,67108864,34,5362538223.455160,5362538541.966836,1
purecap,sha256,hash,67108864,35,5362538541.974676,5362538860.515233,1
purecap,sha256,hash,67108864,36,5362538860.546493,5362539179.084030,1
purecap,sha256,hash,67108864,37,5362539179.092690,5362539497.685327,1
purecap,sha256,hash,67108864,38,5362539497.693348,5362539816.293865,1
purecap,sha256,hash,67108864,39,5362539816.305885,5362540134.775941,1
purecap,sha256,hash,67108864,40,5362540134.783441,5362540453.352198,1
purecap,sha256,hash,67108864,41,5362540453.362438,5362540771.982616,1
purecap,sha256,hash,67108864,42,5362540771.991436,5362541090.599754,1
purecap,sha256,hash,67108864,43,5362541090.608734,5362541409.199591,1
purecap,sha256,hash,67108864,44,5362541409.208371,5362541727.821529,1
purecap,sha256,hash,67108864,45,5362541727.830169,5362542046.407626,1
purecap,sha256,hash,67108864,46,5362542046.415926,5362542364.968123,1
purecap,sha256,hash,67108864,47,5362542364.976643,5362542683.558201,1
purecap,sha256,hash,67108864,48,5362542683.566281,5362543002.170058,1
purecap,sha256,hash,67108864,49,5362543002.181698,5362543320.645954,1
purecap,sha256,hash,67108864,50,5362543320.654754,5362543639.165950,1
purecap,sha256,hash,67108864,51,5362543639.174770,5362543957.713506,1
purecap,sha256,hash,67108864,52,5362543957.721307,5362544276.287163,1
purecap,sha256,hash,67108864,53,5362544276.295344,5362544594.806280,1
purecap,sha256,hash,67108864,54,5362544594.814560,5362544913.356336,1
purecap,sha256,hash,67108864,55,5362544913.365056,5362545231.848732,1
purecap,sha256,hash,67108864,56,5362545231.856932,5362545550.380268,1
purecap,sha256,hash,67108864,57,5362545550.388128,5362545868.907664,1
purecap,sha256,hash,67108864,58,5362545868.916145,5362546187.469201,1
purecap,sha256,hash,67108864,59,5362546187.476861,5362546505.963517,1
purecap,sha256,hash,67108864,60,5362546505.971357,5362546824.464853,1
purecap,sha256,hash,67108864,61,5362546824.476733,5362547143.004489,1
purecap,sha256,hash,67108864,62,5362547143.013249,5362547461.502165,1
purecap,sha256,hash,67108864,63,5362547461.509805,5362547780.058682,1
purecap,sha256,hash,67108864,64,5362547780.067042,5362548098.688100,1
purecap,sha256,hash,67108864,65,5362548098.698020,5362548417.266057,1
purecap,sha256,hash,67108864,66,5362548417.273377,5362548735.810514,1
purecap,sha256,hash,67108864,67,5362548735.817434,5362549054.380271,1
purecap,sha256,hash,67108864,68,5362549054.387691,5362549372.947728,1
purecap,sha256,hash,67108864,69,5362549372.959828,5362549691.451543,1
purecap,sha256,hash,67108864,70,5362549691.460044,5362550009.953159,1
purecap,sha256,hash,67108864,71,5362550009.961639,5362550328.388394,1
purecap,sha256,hash,67108864,72,5362550328.396214,5362550646.838449,1
purecap,sha256,hash,67108864,73,5362550646.846669,5362550965.320904,1
purecap,sha256,hash,67108864,74,5362550965.333525,5362551283.836360,1
purecap,sha256,hash,67108864,75,5362551283.845181,5362551602.334056,1
purecap,sha256,hash,67108864,76,5362551602.345136,5362551920.855772,1
purecap,sha256,hash,67108864,77,5362551920.867313,5362552239.369988,1
purecap,sha256,hash,67108864,78,5362552239.378368,5362552557.921605,1
purecap,sha256,hash,67108864,79,5362552557.933265,5362552876.443581,1
purecap,sha256,hash,67108864,80,5362552876.452801,5362553194.957377,1
purecap,sha256,hash,67108864,81,5362553194.965237,5362553513.510774,1
purecap,sha256,hash,67108864,82,5362553513.518494,5362553832.044530,1
purecap,sha256,hash,67108864,83,5362553832.052710,5362554150.599307,1
purecap,sha256,hash,67108864,84,5362554150.611087,5362554469.147644,1
purecap,sha256,hash,67108864,85,5362554469.155904,5362554787.674160,1
purecap,sha256,hash,67108864,86,5362554787.682520,5362555106.221977,1
purecap,sha256,hash,67108864,87,5362555106.231297,5362555424.723832,1
purecap,sha256,hash,67108864,88,5362555424.732173,5362555743.267589,1
purecap,sha256,hash,67108864,89,5362555743.276609,5362556061.825186,1
purecap,sha256,hash,67108864,90,5362556061.833746,5362556380.317181,1
purecap,sha256,hash,67108864,91,5362556380.325062,5362556698.826937,1
purecap,sha256,hash,67108864,92,5362556698.836818,5362557017.341513,1
purecap,sha256,hash,67108864,93,5362557017.352914,5362557335.885790,1
purecap,sha256,hash,67108864,94,5362557335.895030,5362557654.416666,1
purecap,sha256,hash,67108864,95,5362557654.440867,5362557972.942303,1
purecap,sha256,hash,67108864,96,5362557972.950643,5362558291.465899,1
purecap,sha256,hash,67108864,97,5362558291.474799,5362558610.049956,1
purecap,sha256,hash,67108864,98,5362558610.056656,5362558928.641793,1
purecap,sha256,hash,67108864,99,5362558928.648114,5362559247.210330,1
purecap,sha256,hash,67108864,100,5362559247.216650,5362559565.799708,1
purecap,sha256,hash,104857600,1,5362560421.847534,5362560919.600148,1
purecap,sha256,hash,104857600,2,5362560919.611788,5362561417.274560,1
purecap,sha256,hash,104857600,3,5362561417.286281,5362561914.808130,1
purecap,sha256,hash,104857600,4,5362561914.816751,5362562412.543924,1
purecap,sha256,hash,104857600,5,5362562412.553204,5362562910.205556,1
purecap,sha256,hash,104857600,6,5362562910.213816,5362563407.785147,1
purecap,sha256,hash,104857600,7,5362563407.793567,5362563905.352438,1
purecap,sha256,hash,104857600,8,5362563905.360578,5362564403.068771,1
purecap,sha256,hash,104857600,9,5362564403.078511,5362564900.734223,1
purecap,sha256,hash,104857600,10,5362564900.742483,5362565398.343135,1
purecap,sha256,hash,104857600,11,5362565398.355555,5362565896.113189,1
purecap,sha256,hash,104857600,12,5362565896.121929,5362566393.855722,1
purecap,sha256,hash,104857600,13,5362566393.865163,5362566891.591836,1
purecap,sha256,hash,104857600,14,5362566891.599856,5362567389.317149,1
purecap,sha256,hash,104857600,15,5362567389.329910,5362567886.956521,1
purecap,sha256,hash,104857600,16,5362567886.965361,5362568384.606013,1
purecap,sha256,hash,104857600,17,5362568384.615533,5362568882.177064,1
purecap,sha256,hash,104857600,18,5362568882.185584,5362569379.926518,1
purecap,sha256,hash,104857600,19,5362569379.936178,5362569877.705992,1
purecap,sha256,hash,104857600,20,5362569877.714232,5362570375.427005,1
purecap,sha256,hash,104857600,21,5362570375.439346,5362570873.042957,1
purecap,sha256,hash,104857600,22,5362570873.051297,5362571370.741490,1
purecap,sha256,hash,104857600,23,5362571370.754030,5362571868.430242,1
purecap,sha256,hash,104857600,24,5362571868.439403,5362572366.096835,1
purecap,sha256,hash,104857600,25,5362572366.109595,5362572863.755387,1
purecap,sha256,hash,104857600,26,5362572863.764447,5362573361.465600,1
purecap,sha256,hash,104857600,27,5362573361.474400,5362573859.092252,1
purecap,sha256,hash,104857600,28,5362573859.100692,5362574356.795125,1
purecap,sha256,hash,104857600,29,5362574356.804045,5362574854.410436,1
purecap,sha256,hash,104857600,30,5362574854.418956,5362575352.008827,1
purecap,sha256,hash,104857600,31,5362575352.021588,5362575849.641439,1
purecap,sha256,hash,104857600,32,5362575849.649199,5362576347.261871,1
purecap,sha256,hash,104857600,33,5362576347.269711,5362576844.955664,1
purecap,sha256,hash,104857600,34,5362576844.962964,5362577342.641216,1
purecap,sha256,hash,104857600,35,5362577342.651136,5362577840.176266,1
purecap,sha256,hash,104857600,36,5362577840.183526,5362578337.859159,1
purecap,sha256,hash,104857600,37,5362578337.869279,5362578835.511471,1
purecap,sha256,hash,104857600,38,5362578835.519871,5362579333.289025,1
purecap,sha256,hash,104857600,39,5362579333.296625,5362579831.017599,1
purecap,sha256,hash,104857600,40,5362579831.025899,5362580328.770973,1
purecap,sha256,hash,104857600,41,5362580328.779113,5362580826.416705,1
purecap,sha256,hash,104857600,42,5362580826.425945,5362581324.095037,1
purecap,sha256,hash,104857600,43,5362581324.101517,5362581821.764230,1
purecap,sha256,hash,104857600,44,5362581821.773330,5362582319.459282,1
purecap,sha256,hash,104857600,45,5362582319.465923,5362582817.121935,1
purecap,sha256,hash,104857600,46,5362582817.128995,5362583314.792207,1
purecap,sha256,hash,104857600,47,5362583314.799267,5362583812.581462,1
purecap,sha256,hash,104857600,48,5362583812.591662,5362584310.381836,1
purecap,sha256,hash,104857600,49,5362584310.390496,5362584808.150610,1
purecap,sha256,hash,104857600,50,5362584808.159411,5362585305.960545,1
purecap,sha256,hash,104857600,51,5362585305.968665,5362585803.684519,1
purecap,sha256,hash,104857600,52,5362585803.697199,5362586301.268090,1
purecap,sha256,hash,104857600,53,5362586301.297510,5362586798.936122,1
purecap,sha256,hash,104857600,54,5362586798.944582,5362587296.681496,1
purecap,sha256,hash,104857600,55,5362587296.694156,5362587794.351888,1
purecap,sha256,hash,104857600,56,5362587794.360748,5362588292.002080,1
purecap,sha256,hash,104857600,57,5362588292.010700,5362588789.754774,1
purecap,sha256,hash,104857600,58,5362588789.767574,5362589287.491388,1
purecap,sha256,hash,104857600,59,5362589287.500268,5362589785.284202,1
purecap,sha256,hash,104857600,60,5362589785.292762,5362590283.063456,1
purecap,sha256,hash,104857600,61,5362590283.072317,5362590780.773870,1
purecap,sha256,hash,104857600,62,5362590780.787230,5362591278.353320,1
purecap,sha256,hash,104857600,63,5362591278.362861,5362591775.942391,1
purecap,sha256,hash,104857600,64,5362591775.952152,5362592273.625564,1
purecap,sha256,hash,104857600,65,5362592273.635064,5362592771.370878,1
purecap,sha256,hash,104857600,66,5362592771.383538,5362593269.047690,1
purecap,sha256,hash,104857600,67,5362593269.056530,5362593766.852125,1
purecap,sha256,hash,104857600,68,5362593766.865285,5362594264.510857,1
purecap,sha256,hash,104857600,69,5362594264.520237,5362594762.192290,1
purecap,sha256,hash,104857600,70,5362594762.204850,5362595259.873062,1
purecap,sha256,hash,104857600,71,5362595259.882003,5362595757.601416,1
purecap,sha256,hash,104857600,72,5362595757.611376,5362596255.275888,1
purecap,sha256,hash,104857600,73,5362596255.284129,5362596752.969361,1
purecap,sha256,hash,104857600,74,5362596752.978041,5362597250.581893,1
purecap,sha256,hash,104857600,75,5362597250.589993,5362597748.327166,1
purecap,sha256,hash,104857600,76,5362597748.335687,5362598246.053360,1
purecap,sha256,hash,104857600,77,5362598246.061800,5362598743.761973,1
purecap,sha256,hash,104857600,78,5362598743.774853,5362599241.441305,1
purecap,sha256,hash,104857600,79,5362599241.449866,5362599739.098638,1
purecap,sha256,hash,104857600,80,5362599739.106978,5362600236.635948,1
purecap,sha256,hash,104857600,81,5362600236.644428,5362600734.268919,1
purecap,sha256,hash,104857600,82,5362600734.281940,5362601231.989513,1
purecap,sha256,hash,104857600,83,5362601231.998493,5362601729.674065,1
purecap,sha256,hash,104857600,84,5362601729.683566,5362602227.379538,1
purecap,sha256,hash,104857600,85,5362602227.388519,5362602725.053071,1
purecap,sha256,hash,104857600,86,5362602725.066171,5362603222.749764,1
purecap,sha256,hash,104857600,87,5362603222.762464,5362603720.460197,1
purecap,sha256,hash,104857600,88,5362603720.469297,5362604218.069108,1
purecap,sha256,hash,104857600,89,5362604218.077848,5362604715.775521,1
purecap,sha256,hash,104857600,90,5362604715.788122,5362605213.558556,1
purecap,sha256,hash,104857600,91,5362605213.568316,5362605711.291289,1
purecap,sha256,hash,104857600,92,5362605711.299969,5362606209.034463,1
purecap,sha256,hash,104857600,93,5362606209.043083,5362606706.651314,1
purecap,sha256,hash,104857600,94,5362606706.659635,5362607204.309747,1
purecap,sha256,hash,104857600,95,5362607204.318727,5362607702.060980,1
purecap,sha256,hash,104857600,96,5362607702.069501,5362608199.879595,1
purecap,sha256,hash,104857600,97,5362608199.887896,5362608697.605529,1
