Mode,Workload,Input Size,Input Size (bytes),Latency Mean (ms),Latency Std (ms),Latency (ms),Variability (%),Throughput / Rate,Rate Unit,N
purecap-benchmark ABI,AES-256-GCM encrypt,64 MB,67108864,757.2190780162812,0.4675928086206606,757.2191 ± 0.4676,0.06175132431232891,84.51979335711337,MB/s,100
purecap-benchmark ABI,AES-256-GCM encrypt,100 MB,104857600,1183.1133975790005,0.7230010654689549,1183.1134 ± 0.7230,0.0611100395742647,84.52275175366076,MB/s,99
purecap-benchmark ABI,AES-256-GCM decrypt,1 MB,1048576,11.810871435248334,0.003667218814143623,11.8109 ± 0.0037,0.031049519370765354,84.66775762333697,MB/s,92
purecap-benchmark ABI,AES-256-GCM decrypt,16 MB,16777216,189.12836961048404,0.01916294185537517,189.1284 ± 0.0192,0.010132240813391383,84.59862490726545,MB/s,82
purecap-benchmark ABI,AES-256-GCM decrypt,64 MB,67108864,756.7757311743133,0.4586398822410659,756.7757 ± 0.4586,0.06060446488279687,84.56930813662476,MB/s,98
purecap-benchmark ABI,AES-256-GCM decrypt,100 MB,104857600,1182.3083882908245,0.48234030397468414,1182.3084 ± 0.4823,0.040796488357150856,84.5803015443057,MB/s,91
purecap-benchmark ABI,Ed25519 sign,1 KB,1024,0.12436389923095703,0.002595017564752015,0.1244 ± 0.0026,2.0866325202081275,8040.918676431118,ops/s,91
purecap-benchmark ABI,Ed25519 sign,4 KB,4096,0.1404841413202974,0.0021762465819812325,0.1405 ± 0.0022,1.549104803950426,7118.24118083226,ops/s,97
purecap-benchmark ABI,Ed25519 sign,16 KB,16384,0.20937354294295163,0.0018602419086861906,0.2094 ± 0.0019,0.8884799304337387,4776.152640605942,ops/s,97
purecap-benchmark ABI,Ed25519 verify,1 KB,1024,0.3454124927520752,0.0019135766742138815,0.3454 ± 0.0019,0.553997528858164,2895.089265684911,ops/s,96
purecap-benchmark ABI,Ed25519 verify,4 KB,4096,0.3553151101181188,0.0018652466281078469,0.3553 ± 0.0019,0.524955616857323,2814.403248056538,ops/s,97
purecap-benchmark ABI,Ed25519 verify,16 KB,16384,0.3853813677417989,0.002299337670689252,0.3854 ± 0.0023,0.5966395532203783,2594.8322459377137,ops/s,98
