BlockSize,Outliers,Variable,Comparison,N_A,N_B,Median_A,Median_B,CliffsDelta,MedianRatio_A_over_B
500.0,With,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.006,0.004,0.2347,1.5
600.0,With,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.007,0.005,0.3701,1.4
700.0,With,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.007,0.005,0.4382,1.4
800.0,With,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.009,0.005,0.7898,1.7999999999999998
900.0,With,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.01,0.005,0.6662,2.0
1000.0,With,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.008,0.005,0.7973,1.6
100.0,With,Free Time (ms),purecap ABI vs outside compartment,100,100,0.0265,0.004,1.0,6.625
200.0,With,Free Time (ms),purecap ABI vs outside compartment,100,100,0.055,0.011,1.0,5.0
300.0,With,Free Time (ms),purecap ABI vs outside compartment,100,100,0.075,0.015,1.0,5.0
400.0,With,Free Time (ms),purecap ABI vs outside compartment,100,100,0.106,0.015,1.0,7.066666666666666
500.0,With,Free Time (ms),purecap ABI vs outside compartment,100,100,0.12,0.016,1.0,7.5
600.0,With,Free Time (ms),purecap ABI vs outside compartment,100,100,0.15,0.016,1.0,9.375
700.0,With,Free Time (ms),purecap ABI vs outside compartment,100,100,0.18,0.017,1.0,10.588235294117647
800.0,With,Free Time (ms),purecap ABI vs outside compartment,100,100,0.21,0.018,1.0,11.666666666666668
900.0,With,Free Time (ms),purecap ABI vs outside compartment,100,100,0.239,0.018,1.0,13.277777777777779
1000.0,With,Free Time (ms),purecap ABI vs outside compartment,100,100,0.239,0.018,1.0,13.277777777777779
100.0,With,Free Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.024,0.004,1.0,6.0
200.0,With,Free Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.053,0.011,1.0,4.818181818181818
300.0,With,Free Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.074,0.015,1.0,4.933333333333334
400.0,With,Free Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.103,0.015,1.0,6.866666666666666
500.0,With,Free Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.118,0.016,1.0,7.374999999999999
600.0,With,Free Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.149,0.016,1.0,9.3125
700.0,With,Free Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.179,0.017,1.0,10.52941176470588
800.0,With,Free Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.209,0.018,1.0,11.61111111111111
900.0,With,Free Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.238,0.018,1.0,13.222222222222223
1000.0,With,Free Time (ms),purecap-benchmark ABI vs outside compartment,100,100,0.238,0.018,1.0,13.222222222222223
100.0,Without,Write Time (ms),purecap ABI vs outside compartment,100,100,283.225,282.5825,1.0,1.0022736722903933
200.0,Without,Write Time (ms),purecap ABI vs outside compartment,100,100,566.445,565.1635,1.0,1.0022674854267837
300.0,Without,Write Time (ms),purecap ABI vs outside compartment,100,100,849.67,847.7529999999999,1.0,1.0022612718563073
400.0,Without,Write Time (ms),purecap ABI vs outside compartment,99,100,1132.936,1130.3294999999998,1.0,1.0023059647651416
500.0,Without,Write Time (ms),purecap ABI vs outside compartment,100,100,1416.15,1412.9045,1.0,1.0022970413074628
600.0,Without,Write Time (ms),purecap ABI vs outside compartment,98,100,1699.395,1695.4915,1.0,1.0023022822585663
700.0,Without,Write Time (ms),purecap ABI vs outside compartment,99,96,1982.571,1978.069,1.0,1.0022759570065554
800.0,Without,Write Time (ms),purecap ABI vs outside compartment,98,98,2265.8525,2260.6585,1.0,1.0022975606443874
900.0,Without,Write Time (ms),purecap ABI vs outside compartment,97,98,2549.061,2543.25,1.0,1.002284871719257
1000.0,Without,Write Time (ms),purecap ABI vs outside compartment,93,97,2832.251,2825.821,1.0,1.0022754449061
100.0,Without,Write Time (ms),purecap-benchmark ABI vs outside compartment,100,100,40.367,282.5825,-1.0,0.14285031804871143
200.0,Without,Write Time (ms),purecap-benchmark ABI vs outside compartment,100,100,80.734,565.1635,-1.0,0.142850697187628
300.0,Without,Write Time (ms),purecap-benchmark ABI vs outside compartment,100,100,121.10249999999999,847.7529999999999,-1.0,0.1428511606564648
400.0,Without,Write Time (ms),purecap-benchmark ABI vs outside compartment,100,100,161.47050000000002,1130.3294999999998,-1.0,0.14285259298284264
500.0,Without,Write Time (ms),purecap-benchmark ABI vs outside compartment,99,100,201.837,1412.9045,-1.0,0.14285254240467066
600.0,Without,Write Time (ms),purecap-benchmark ABI vs outside compartment,98,100,242.2065,1695.4915,-1.0,0.14285326703200812
700.0,Without,Write Time (ms),purecap-benchmark ABI vs outside compartment,100,96,282.576,1978.069,-1.0,0.1428544706984438
800.0,Without,Write Time (ms),purecap-benchmark ABI vs outside compartment,97,98,322.944,2260.6585,-1.0,0.14285395162515702
900.0,Without,Write Time (ms),purecap-benchmark ABI vs outside compartment,98,98,363.31100000000004,2543.25,-1.0,0.14285304236705004
1000.0,Without,Write Time (ms),purecap-benchmark ABI vs outside compartment,97,97,403.682,2825.821,-1.0,0.14285476680936268
100.0,Without,Read Time (ms),purecap ABI vs outside compartment,100,100,283.1305,282.578,1.0,1.0019552123661433
200.0,Without,Read Time (ms),purecap ABI vs outside compartment,100,100,566.2625,565.164,1.0,1.0019436836033435
300.0,Without,Read Time (ms),purecap ABI vs outside compartment,100,99,849.377,847.744,1.0,1.001926289068398
400.0,Without,Read Time (ms),purecap ABI vs outside compartment,100,99,1132.5405,1130.323,1.0,1.0019618286100522
500.0,Without,Read Time (ms),purecap ABI vs outside compartment,100,100,1415.6955,1412.901,1.0,1.0019778455815376
600.0,Without,Read Time (ms),purecap ABI vs outside compartment,99,100,1698.791,1695.492,1.0,1.0019457479009042
700.0,Without,Read Time (ms),purecap ABI vs outside compartment,100,95,1981.891,1978.082,1.0,1.0019256026797676
800.0,Without,Read Time (ms),purecap ABI vs outside compartment,100,98,2265.053,2260.654,1.0,1.001945897072263
900.0,Without,Read Time (ms),purecap ABI vs outside compartment,98,100,2548.1634999999997,2543.2335000000003,1.0,1.0019384771394366
1000.0,Without,Read Time (ms),purecap ABI vs outside compartment,97,100,2831.317,2825.816,1.0,1.0019466943353708
100.0,Without,Read Time (ms),purecap-benchmark ABI vs outside compartment,100,100,80.734,282.578,-1.0,0.2857051858247988
200.0,Without,Read Time (ms),purecap-benchmark ABI vs outside compartment,100,100,161.468,565.164,-1.0,0.28570114161553106
300.0,Without,Read Time (ms),purecap-benchmark ABI vs outside compartment,100,99,242.2045,847.744,-1.0,0.2857047646459308
400.0,Without,Read Time (ms),purecap-benchmark ABI vs outside compartment,99,99,322.941,1130.323,-1.0,0.28570682893296867
500.0,Without,Read Time (ms),purecap-benchmark ABI vs outside compartment,100,100,403.6815,1412.901,-1.0,0.2857111007777615
600.0,Without,Read Time (ms),purecap-benchmark ABI vs outside compartment,99,100,484.416,1695.492,-1.0,0.2857082192071682
