BlockSize,OutlierStatus,Variable,NormalAcrossGroups,Levene_stat,Levene_p,GroupComparison,GroupStat,GroupP,EffectSizeName,EffectSizeValue,GroupsIncluded
800.0,With_Outliers,Allocation Time (ms),False,1.8020407578293576,0.1667608425387403,Kruskal-Wallis,173.60515065575913,2.0050283611975405e-38,epsilon_squared,0.5777951200530611,purecap-benchmark ABI | purecap ABI | outside compartment
900.0,With_Outliers,Allocation Time (ms),False,1.6337451956783091,0.1969464088856045,Kruskal-Wallis,154.4508623467001,2.8934859561880465e-34,epsilon_squared,0.5133025668239061,purecap-benchmark ABI | purecap ABI | outside compartment
1000.0,With_Outliers,Allocation Time (ms),False,1.2066060771528333,0.30067345937388623,Kruskal-Wallis,194.20723737501066,6.736498713496145e-43,epsilon_squared,0.6471624154040763,purecap-benchmark ABI | purecap ABI | outside compartment
100.0,With_Outliers,Free Time (ms),False,5.582396842315583,0.00416921292009772,Kruskal-Wallis,221.1037958248073,9.725697840467225e-49,epsilon_squared,0.7377232182653444,purecap-benchmark ABI | purecap ABI | outside compartment
200.0,With_Outliers,Free Time (ms),False,7.946742349230618,0.0004344597001801948,Kruskal-Wallis,212.48312141188993,7.242298763515136e-47,epsilon_squared,0.7086973784912118,purecap-benchmark ABI | purecap ABI | outside compartment
300.0,With_Outliers,Free Time (ms),False,5.119151895127772,0.0065199151624517095,Kruskal-Wallis,212.04435888177895,9.01887794351615e-47,epsilon_squared,0.7072200635750133,purecap-benchmark ABI | purecap ABI | outside compartment
400.0,With_Outliers,Free Time (ms),False,8.446790825372938,0.000270483667166618,Kruskal-Wallis,210.5164984683449,1.936079483529351e-46,epsilon_squared,0.7020757524186697,purecap-benchmark ABI | purecap ABI | outside compartment
500.0,With_Outliers,Free Time (ms),False,2.6486777955917855,0.07241558255672503,Kruskal-Wallis,215.58188472011258,1.5381140309017196e-47,epsilon_squared,0.719130924983544,purecap-benchmark ABI | purecap ABI | outside compartment
600.0,With_Outliers,Free Time (ms),False,4.9351780549491355,0.007789768176676116,Kruskal-Wallis,208.61012338130055,5.022122168367592e-46,epsilon_squared,0.6956569810818201,purecap-benchmark ABI | purecap ABI | outside compartment
700.0,With_Outliers,Free Time (ms),False,3.8984095682929487,0.021319833608708254,Kruskal-Wallis,211.0791641043934,1.461308439077053e-46,epsilon_squared,0.7039702495097422,purecap-benchmark ABI | purecap ABI | outside compartment
