BlockSize,Outliers,Variable,KW,EffectSizeName,EffectSizeValue,NormalAcrossGroups,Levene_p,GroupsIncluded
200.0,Without,Write Time (ms),< 0.001,epsilon_squared,0.8885530948432371,False,1.6642715309213763e-25,purecap-benchmark ABI | purecap ABI | outside compartment
300.0,Without,Write Time (ms),< 0.001,epsilon_squared,0.8883743886661316,False,3.7622233675305216e-25,purecap-benchmark ABI | purecap ABI | outside compartment
400.0,Without,Write Time (ms),< 0.001,epsilon_squared,0.8882603837447292,False,5.665946860023307e-34,purecap-benchmark ABI | purecap ABI | outside compartment
500.0,Without,Write Time (ms),< 0.001,epsilon_squared,0.8882690235637872,False,1.6541116792047472e-32,purecap-benchmark ABI | purecap ABI | outside compartment
600.0,Without,Write Time (ms),< 0.001,epsilon_squared,0.8881838755315563,False,8.513326378580302e-34,purecap-benchmark ABI | purecap ABI | outside compartment
700.0,Without,Write Time (ms),< 0.001,epsilon_squared,0.8881028038059159,False,2.0264394292493014e-36,purecap-benchmark ABI | purecap ABI | outside compartment
800.0,Without,Write Time (ms),< 0.001,epsilon_squared,0.8881850031681311,False,2.1585725952860243e-38,purecap-benchmark ABI | purecap ABI | outside compartment
900.0,Without,Write Time (ms),< 0.001,epsilon_squared,0.8881792380789449,False,4.420251961366443e-36,purecap-benchmark ABI | purecap ABI | outside compartment
1000.0,Without,Write Time (ms),< 0.001,epsilon_squared,0.8880329137375242,False,3.041882263572131e-33,purecap-benchmark ABI | purecap ABI | outside compartment
100.0,Without,Read Time (ms),< 0.001,epsilon_squared,0.8887024030261669,False,1.2498049880363523e-24,purecap-benchmark ABI | purecap ABI | outside compartment
200.0,Without,Read Time (ms),< 0.001,epsilon_squared,0.8883037616895789,False,1.391019728838572e-26,purecap-benchmark ABI | purecap ABI | outside compartment
300.0,Without,Read Time (ms),< 0.001,epsilon_squared,0.8882376798990615,False,3.300060191285036e-31,purecap-benchmark ABI | purecap ABI | outside compartment
